|   id |      x |      y |  size |
|  280 | -17.75 | -10.25 | 0.024 |
|  281 | -17.75 |  -9.75 | 0.024 |
|  282 | -17.75 |  -9.25 | 0.024 |
|  283 | -17.75 |  -8.75 | 0.024 |
|  284 | -17.75 |  -8.25 | 0.024 |
|  285 | -17.75 |  -7.75 | 0.024 |
|  286 | -17.75 |  -7.25 | 0.024 |
|  287 | -17.75 |  -6.75 | 0.024 |
|  288 | -17.75 |  -6.25 | 0.024 |
|  289 | -17.75 |  -5.75 | 0.024 |
|  290 | -17.75 |  -5.25 | 0.024 |
|  291 | -17.75 |  -4.75 | 0.024 |
|  292 | -17.75 |  -4.25 | 0.024 |
|  293 | -17.75 |  -3.75 | 0.024 |
|  294 | -17.75 |  -3.25 | 0.024 |
|  295 | -17.75 |  -2.75 | 0.024 |
|  296 | -17.75 |  -2.25 | 0.024 |
|  297 | -17.75 |  -1.75 | 0.024 |
|  298 | -17.75 |  -1.25 | 0.024 |
|  299 | -17.75 |  -0.75 | 0.024 |
|  300 | -17.75 |  -0.25 | 0.024 |
|  301 | -17.75 |   0.25 | 0.024 |
|  302 | -17.75 |   0.75 | 0.024 |
|  303 | -17.75 |   1.25 | 0.024 |
|  304 | -17.75 |   1.75 | 0.024 |
|  305 | -17.75 |   2.25 | 0.024 |
|  306 | -17.75 |   2.75 | 0.024 |
|  307 | -17.75 |   3.25 | 0.024 |
|  308 | -17.75 |   3.75 | 0.024 |
|  309 | -17.75 |   4.25 | 0.024 |
|  310 | -17.75 |   4.75 | 0.024 |
|  311 | -17.75 |   5.25 | 0.024 |
|  312 | -17.75 |   5.75 | 0.024 |
|  313 | -17.75 |   6.25 | 0.024 |
|  314 | -17.75 |   6.75 | 0.024 |
|  315 | -17.75 |   7.25 | 0.024 |
|  316 | -17.75 |   7.75 | 0.024 |
|  317 | -17.75 |   8.25 | 0.024 |
|  318 | -17.75 |   8.75 | 0.024 |
|  319 | -17.75 |   9.25 | 0.024 |
|  320 | -17.75 |   9.75 | 0.024 |
|  321 | -17.75 |  10.25 | 0.024 |
|  322 | -17.75 |  10.75 | 0.024 |
|  323 | -17.75 |  11.25 | 0.024 |
|  324 | -17.75 |  11.75 | 0.024 |
|  325 | -17.75 |  12.25 | 0.024 |
|  326 | -17.75 |  12.75 | 0.024 |
|  327 | -17.25 | -13.25 | 0.024 |
|  328 | -17.25 | -12.75 | 0.024 |
|  329 | -17.25 | -12.25 | 0.024 |
|  330 | -17.25 | -11.75 | 0.024 |
|  331 | -17.25 | -11.25 | 0.024 |
|  332 | -17.25 | -10.75 | 0.024 |
|  333 | -17.25 | -10.25 | 0.024 |
|  334 | -17.25 |  -9.75 | 0.024 |
|  335 | -17.25 |  -9.25 | 0.024 |
|  336 | -17.25 |  -8.75 | 0.024 |
|  337 | -17.25 |  -8.25 | 0.024 |
|  338 | -17.25 |  -7.75 | 0.024 |
|  339 | -17.25 |  -7.25 | 0.024 |
|  340 | -17.25 |  -6.75 | 0.024 |
|  341 | -17.25 |  -6.25 | 0.024 |
|  342 | -17.25 |  -5.75 | 0.024 |
|  343 | -17.25 |  -5.25 | 0.024 |
|  344 | -17.25 |  -4.75 | 0.024 |
|  345 | -17.25 |  -4.25 | 0.024 |
|  346 | -17.25 |  -3.75 | 0.024 |
|  347 | -17.25 |  -3.25 | 0.024 |
|  348 | -17.25 |  -2.75 | 0.024 |
|  349 | -17.25 |  -2.25 | 0.024 |
|  350 | -17.25 |  -1.75 | 0.024 |
|  351 | -17.25 |  -1.25 | 0.024 |
|  352 | -17.25 |  -0.75 | 0.024 |
|  353 | -17.25 |  -0.25 | 0.024 |
|  354 | -17.25 |   0.25 | 0.024 |
|  355 | -17.25 |   0.75 | 0.024 |
|  356 | -17.25 |   1.25 | 0.024 |
|  357 | -17.25 |   1.75 | 0.024 |
|  358 | -17.25 |   2.25 | 0.024 |
|  359 | -17.25 |   2.75 | 0.024 |
|  360 | -17.25 |   3.25 | 0.024 |
|  361 | -17.25 |   3.75 | 0.024 |
|  362 | -17.25 |   4.25 | 0.024 |
|  363 | -17.25 |   4.75 | 0.024 |
|  364 | -17.25 |   5.25 | 0.024 |
|  365 | -17.25 |   5.75 | 0.024 |
|  366 | -17.25 |   6.25 | 0.024 |
|  367 | -17.25 |   6.75 | 0.024 |
|  368 | -17.25 |   7.25 | 0.024 |
|  369 | -17.25 |   7.75 | 0.024 |
|  370 | -17.25 |   8.25 | 0.024 |
|  371 | -17.25 |   8.75 | 0.024 |
|  372 | -17.25 |   9.25 | 0.024 |
|  373 | -17.25 |   9.75 | 0.024 |
|  374 | -17.25 |  10.25 | 0.024 |
|  375 | -17.25 |  10.75 | 0.024 |
|  376 | -17.25 |  11.25 | 0.024 |
|  377 | -17.25 |  11.75 | 0.024 |
|  378 | -17.25 |  12.25 | 0.024 |
|  379 | -17.25 |  12.75 | 0.024 |
|  380 | -17.25 |  13.25 | 0.024 |
|  381 | -16.75 | -14.25 | 0.024 |
|  382 | -16.75 | -13.75 | 0.024 |
|  383 | -16.75 | -13.25 | 0.024 |
|  384 | -16.75 | -12.75 | 0.024 |
|  385 | -16.75 | -12.25 | 0.024 |
|  386 | -16.75 | -11.75 | 0.024 |
|  387 | -16.75 | -11.25 | 0.024 |
|  388 | -16.75 | -10.75 | 0.024 |
|  389 | -16.75 | -10.25 | 0.024 |
|  390 | -16.75 |  -9.75 | 0.024 |
|  391 | -16.75 |  -9.25 | 0.024 |
|  392 | -16.75 |  -8.75 | 0.024 |
|  393 | -16.75 |  -8.25 | 0.024 |
|  394 | -16.75 |  -7.75 | 0.024 |
|  395 | -16.75 |  -7.25 | 0.024 |
|  396 | -16.75 |  -6.75 | 0.024 |
|  397 | -16.75 |  -6.25 | 0.024 |
|  398 | -16.75 |  -5.75 | 0.024 |
